feature,importance,raw_value,importance_type
electrical_FuseP,0.032427289260502985,-0.032427289260502985,coefficient_abs
total_porch_sf,0.03178931183985499,0.03178931183985499,coefficient_abs
exteriorsecond_Wd Sdng,0.03173791000677999,0.03173791000677999,coefficient_abs
bldg_type_Duplex,0.031585577643458755,-0.031585577643458755,coefficient_abs
house_style_1.5Unf,0.031430137151193756,0.031430137151193756,coefficient_abs
street_Pave,0.030788184304256568,0.030788184304256568,coefficient_abs
street_Grvl,0.03078818430424996,-0.03078818430424996,coefficient_abs
neighborhood_CollgCr,0.03073916522848165,-0.03073916522848165,coefficient_abs
mas_vnr_type_BrkCmn,0.0307019448740577,-0.0307019448740577,coefficient_abs
neighborhood_NAmes,0.0306967270738921,-0.0306967270738921,coefficient_abs
total_bsmt_sf,0.03039876417144468,-0.03039876417144468,coefficient_abs
garage_age_at_sale,0.029701887623269238,-0.029701887623269238,coefficient_abs
has_porch,0.029658239838524312,-0.029658239838524312,coefficient_abs
mas_vnr_type_Stone,0.02963312654236947,0.02963312654236947,coefficient_abs
bsmt_fin_type2_BLQ,0.02957301877993437,-0.02957301877993437,coefficient_abs
bsmt_fin_type2_ALQ,0.029470968305058957,0.029470968305058957,coefficient_abs
exteriorfirst_ImStucc,0.029427135874221976,-0.029427135874221976,coefficient_abs
neighborhood_SawyerW,0.029238052053494674,-0.029238052053494674,coefficient_abs
neighborhood_OldTown,0.028631988609758026,-0.028631988609758026,coefficient_abs
garage_qual,0.02806012851591245,0.02806012851591245,coefficient_abs
misc_feature_None,0.027896454322195112,0.027896454322195112,coefficient_abs
garage_cars,0.027440481342093242,0.027440481342093242,coefficient_abs
house_style_2.5Unf,0.026133434195165953,0.026133434195165953,coefficient_abs
house_style_SLvl,0.025563914566993706,0.025563914566993706,coefficient_abs
roof_style_Gable,0.025407822628721363,-0.025407822628721363,coefficient_abs
foundation_PConc,0.02528647441150218,0.02528647441150218,coefficient_abs
central_air_Y,0.02518090616134966,0.02518090616134966,coefficient_abs
central_air_N,0.025180906161298616,-0.025180906161298616,coefficient_abs
neighborhood_NoRidge,0.024624310693958103,0.024624310693958103,coefficient_abs
functional,0.024399024187311862,0.024399024187311862,coefficient_abs
garage_type_Basment,0.02431633012828381,0.02431633012828381,coefficient_abs
sale_type_Oth,0.02269022031203634,0.02269022031203634,coefficient_abs
heating_OthW,0.022042005235531674,-0.022042005235531674,coefficient_abs
neighborhood_NPkVill,0.02157943111595006,0.02157943111595006,coefficient_abs
is_new_house,0.021176605443791068,-0.021176605443791068,coefficient_abs
lot_config_Corner,0.02104713214914791,0.02104713214914791,coefficient_abs
land_contour_Low,0.020657916842848408,-0.020657916842848408,coefficient_abs
sale_condition_Normal,0.02034675067733275,0.02034675067733275,coefficient_abs
condition1_RRNe,0.020210974218105013,-0.020210974218105013,coefficient_abs
neighborhood_Sawyer,0.019714072826329167,-0.019714072826329167,coefficient_abs
neighborhood_Timber,0.0197072926793532,-0.0197072926793532,coefficient_abs
bsmt_fin_type1_LwQ,0.019704925074908272,-0.019704925074908272,coefficient_abs
garage_type_Detchd,0.019622089743367252,0.019622089743367252,coefficient_abs
bsmt_fin_type2_Rec,0.01878550063707561,-0.01878550063707561,coefficient_abs
alley_Pave,0.018775217561868802,0.018775217561868802,coefficient_abs
neighborhood_Blmngtn,0.01869152005803585,0.01869152005803585,coefficient_abs
roof_style_Hip,0.01863143379689354,-0.01863143379689354,coefficient_abs
bldg_type_TwnhsE,0.01815697680396925,0.01815697680396925,coefficient_abs
exteriorfirst_Plywood,0.01805162700976644,0.01805162700976644,coefficient_abs
electrical_Mix,0.01803444180532827,0.01803444180532827,coefficient_abs
fence_GdWo,0.01784045084366325,-0.01784045084366325,coefficient_abs
exteriorsecond_Stucco,0.01680928739250723,-0.01680928739250723,coefficient_abs
bsmt_fin_type1_GLQ,0.016731397229511082,0.016731397229511082,coefficient_abs
exteriorfirst_HdBoard,0.016609190082106137,0.016609190082106137,coefficient_abs
mssub_class,0.016583060678182094,-0.016583060678182094,coefficient_abs
land_contour_HLS,0.0164159490964652,0.0164159490964652,coefficient_abs
heating_GasA,0.016088994809000685,0.016088994809000685,coefficient_abs
neighborhood_IDOTRR,0.015901229005693712,-0.015901229005693712,coefficient_abs
